Year,Olympics,Name,Country,Sport,Banned substance,Medals,Sex
2008,Summer,Vanja Perisic,Croatia,"Athletics 
800 Metres",CERA,0,F
2008,Summer,Rashid Ramzi,Bahrain,"Athletics 
1500 Metres",CERA,0,M
2008,Summer,Davide Rebellin,Italy,"Cycling 
Road Race",CERA,0,M
2008,Summer,Stefan Schumacher,Germany,"Cycling 
Time Trial",CERA,0,M
2008,Summer,Athanasia Tsoumeleka,Greece,"Athletics 
20 Kilometre Walk",CERA,0,F
2008,Summer,Yuliya Chermoshanskaya,Russia,"Athletics 
200 Metres
4 �� 100 Metres ",Turinabol & Stanozolol,1,F
2008,Summer,Tatyana Firova,Russia,"Athletics 
400 Metres
4 �� 400 Metres ",Turinabol,2,F
2008,Summer,Anastasia Kapachinskaya,Russia,"Athletics 
400 Metres
4 �� 400 Metres ",Turinabol & Stanozolol,2,F
2008,Summer,Hripsime Khurshudyan,Armenia,"Weightlifting 
75 kg",Stanozolol,0,F
2008,Summer,Tigran Gevorg Martirosyan,Armenia,"Weightlifting 
69 kg",Turinabol & Stanozolol,3,M
2008,Summer,Samuel Adelebari Francis,Qatar,"Athletics 
100 Metres
200 Metres",Stanozolol,0,M
2008,Summer,Nadezhda Evstyukhina,Russia,"Weightlifting 
75 kg",Turinabol ,3,F
2008,Summer,Alexander Pogorelov,Russia,"Athletics 
Decathlon",Turinabol,0,M
2008,Summer,Marina Shainova,Russia,"Weightlifting 
58 kg",Turinabol & Stanozolol,2,F
2008,Summer,Alexandru Dudoglo,Moldova,"Weightlifting 
69 kg",Stanozolol,0,M
2008,Summer,Nurcan Taylan,Turkey,"Weightlifting 
48 kg",Stanozolol,0,F
2008,Summer,Yarelys Barrios,Cuba,"Athletics 
Discus Throw",Acetazolamide,2,F
2008,Summer,Intigam Zairov,Azerbaijan,"Weightlifting 
85 kg",Turinabol,0,M
2008,Summer,Ivan Yushkov,Russia,"Athletics 
Shot Put",Stanozolol,0,M
2008,Summer,Sibel Ozkan,Turkey,"Weightlifting 
48 kg",Stanozolol,2,F
2008,Summer,Ilya Ilyin,Kazakhstan,"Weightlifting 
94 kg",Stanozolol,1,M
2008,Summer,Mariya Abakumova,Russia,"Athletics 
Javelin Throw",Turinabol,2,F
2008,Summer,Inga Abitova,Russia,"Athletics 
10,000 Metres",Turinabol,0,F
2008,Summer,Denis Alexeev,Russia,"Athletics 
400 Metres",Turinabol,0,M
2008,Summer,Anna Chicherova,Russia,"Athletics 
High Jump",Turinabol,3,F
2008,Summer,Sardar Hasanov,Azerbaijan,"Weightlifting 
62 kg",Turinabol,0,M
2008,Summer,Wilfredo Martinez,Cuba,"Athletics 
Long Jump",Acetazolamide,0,M
2008,Summer,Josephine Nnkiruka Onyia,Spain,"Athletics 
100 Metre Hurdles",Methylhexanamine,0,F
2008,Summer,Soslan Tigiev,Uzbekistan,"Wrestling 
Freestyle 74 kg",Turinabol,2,M
2008,Summer,Ekaterina Volkova,Russia,"Athletics 
3000 Metre Steeplechase",Turinabol,3,F
2008,Summer,Olha Korobka,Ukraine,"Weightlifting 
+75 kg",Turinabol,2,F
2008,Summer,Nastassia Novikava,Belarus,"Weightlifting 
53 kg",Turinabol & Stanozolol,3,F
2008,Summer,Andrei Rybakou,Belarus,"Weightlifting 
85 kg",Turinabol & Stanozolol,2,M
2008,Summer,Taimuraz Tigiyev,Kazakhstan,"Wrestling 
Freestyle 96 kg",Turinabol,2,M
2008,Summer,Khadzhimurat Akkaev,Russia,"Weightlifting 
94 kg",Turinabol,3,M
2008,Summer,Khasan Baroev,Russia,"Wrestling 
Greco-Roman 120 kg",Turinabol,2,M
2008,Summer,Nataliya Davydova,Ukraine,"Weightlifting 
69 kg",Turinabol,3,F
2008,Summer,Chrysopigi Devetzi,Greece,"Athletics 
Triple Jump",Stanozolol,3,F
2008,Summer,Mariya Grabovetskaya,Kazakhstan,"Weightlifting 
+75 kg",Turinabol & Stanozolol,3,F
2008,Summer,Iryna Kulesha,Belarus,"Weightlifting 
75 kg",Turinabol,0,F
2008,Summer,Dmitry Lapikov,Russia,"Weightlifting 
105 kg",Turinabol,3,M
2008,Summer,Asset Mambetov,Kazakhstan,"Wrestling 
Greco-Roman 96 kg",Stanozolol,3,M
2008,Summer,Maya Maneza,Kazakhstan,"Weightlifting 
63 kg",Stanozolol,0,F
2008,Summer,Irina Nekrassova,Kazakhstan,"Weightlifting 
63 kg",Stanozolol,2,F
2008,Summer,Vita Palamar,Ukraine,"Athletics 
High Jump",Turinabol,0,F
2008,Summer,Nizami Pashayev,Azerbaijan,"Weightlifting 
94 kg",Stanozolol & Turinabol,0,M
2008,Summer,Vitaliy Rahimov,Azerbaijan,"Wrestling 
Greco-Roman 60 kg",Turinabol,2,M
2008,Summer,Vladimir Sedov,Kazakhstan,"Weightlifting 
85 kg",Stanozolol,0,M
2008,Summer,Elena Slesarenko,Russia,"Athletics 
High Jump",Turinabol,0,F
2008,Summer,Denys Yurchenko,Ukraine,"Athletics 
Pole Vault",Turinabol,3,M
2008,Summer,Pavel Lyzhyn,Belarus,"Athletics 
Shot Put",Turinabol,0,M
2008,Summer,Aksana Miankova,Belarus,"Athletics 
Hammer Throw",Turinabol & Oxandrolone,1,F
2008,Summer,Natallia Mikhnevich,Belarus,"Athletics 
Shot Put",Metandienone & Stanozolol,2,F
2008,Summer,Sviatlana Vusovich,Belarus,"Athletics 
800 Metres",Turinabol,0,F
2008,Summer,Nadzeya Ostapchuk,Belarus,"Athletics 
Shot Put",Turinabol & Tamoxifen,3,F
2008,Summer,Darya Pchelnik,Belarus,"Athletics 
Hammer Throw",Turinabol,0,F
2008,Summer,Cao Lei,China,"Weightlifting 
75 kg",GHRP-2 & Metabolite,1,F
2008,Summer,Chen Xiexia,China,"Weightlifting 
48 kg",GHRP-2 & Metabolite,1,F
2008,Summer,Liu Chunhong,China,"Weightlifting 
69 kg",GHRP-2 & Metabolite,1,F
2008,Summer,Nesta Carter,Jamaica,"Athletics 
4 �� 100 Metres ",Methylhexanamine,1,M
2008,Summer,Tatyana Lebedeva,Russia,"Athletics 
Triple Jump 
Long Jump",Turinabol,2,F
2008,Summer,Victoria Tereshchuk,Ukraine,"Modern Pentathlon 
Individual",Turinabol,3,F
2008,Summer,Vasyl Fedoryshyn,Ukraine,"Wrestling 
Freestyle 60 kg",Turinabol,2,M
2008,Summer,Artur Taymazov,Uzbekistan,"Wrestling 
Freestyle 120 kg",Turinabol & Stanozolol,1,M
2008,Summer,Tatyana Chernova,Russia,"Athletics 
Heptathlon",Turinabol,3,F
2008,Summer,Denis Alexeev,Russia,"Athletics 
Men's 4 �� 400 m ",Turinabol,3,M
2012,Summer,Hussain Al-Hamdah,Saudi Arabia,"Athletics 
5000 metres",Biological passport abnormalities,0,M
2012,Summer,Gamze Bulut,Turkey,"Athletics 
1500 metres",Biological passport abnormalities,2,F
2012,Summer,Mariya Savinova,Russia,"Athletics 
800 metres",Biological passport abnormalities,1,F
2012,Summer,Ghfran Almouhamad,Syria,"Athletics 
400 metres hurdles",Methylhexaneamine,0,F
2012,Summer,Elena Arzhakova,Russia,"Athletics 
800 metres",Biological passport abnormalities,0,F
2012,Summer,Sergey Bakulin,Russia,"Athletics 
50 km race walk",Biological passport abnormalities,0,M
2012,Summer,Andrey Krivov,Russia,"Athletics 
20 km race walk",Biological passport abnormalities,0,M
2012,Summer,Valeriy Borchin,Russia,"Athletics 
20 km race walk",Biological passport abnormalities,0,M
2012,Summer,Abderrahime Bouramdane,Morocco,"Athletics 
Marathon",Biological passport abnormalities,0,M
2012,Summer,Yolanda Caballero,Colombia,"Athletics 
Marathon",Biological passport abnormalities,0,F
2012,Summer,Asli Cakir-Alptekin,Turkey,"Athletics 
1500 metres",Biological passport abnormalities,1,F
2012,Summer,Yekaterina Sharmina,Russia,"Athletics 
1500 metres",Biological passport abnormalities,0,F
2012,Summer,Nicholas Delpopolo,United States,"Judo 
73 kg",Cannabis,0,M
2012,Summer,Bahar Dogan,Turkey,"Athletics 
Marathon",Biological passport abnormalities,0,F
2012,Summer,Marta Dominguez,Spain,"Athletics 
Steeplechase",Biological passport abnormalities,0,F
2012,Summer,Hamza Driouch,Qatar,"Athletics 
1500 metres",Biological passport abnormalities,0,M
2012,Summer,Tyson Gay,United States,"Athletics 
100 metres
4 �� 100 m",Anabolic androgenic steroids,2,M
2012,Summer,Yelizaveta Grechishnikova,Russia,"Athletics 
10,000 metres",Biological passport abnormalities,0,F
2012,Summer,Semoy Hackett,Trinidad and Tobago,"Athletics 
100 metres
200 metres
4 �� 100 metres ",Methylhexaneamine,0,F
2012,Summer,Tetyana Hamera-Shmyrko,Ukraine,"Athletics 
Marathon",Biological passport abnormalities,0,F
2012,Summer,Hassan Hirt,France,"Athletics 
5000 metres",Erythropoietin,0,M
2012,Summer,Vladimir Kanaikin,Russia,"Athletics 
20 km race walk",Biological passport abnormalities,0,M
2012,Summer,Olga Kaniskina,Russia,"Athletics 
20 km race walk",Biological passport abnormalities,2,F
2012,Summer,Natallia Kareiva,Belarus,"Athletics 
1500 metres",Biological passport abnormalities,0,F
2012,Summer,Ummu Kiraz,Turkey,"Athletics 
Marathon",Biological passport abnormalities,0,F
2012,Summer,Sergey Kirdyapkin,Russia,"Athletics 
50 km race walk",Biological passport abnormalities,1,M
2012,Summer,Blaza Klemencic,Slovenia,"Cycling 
MTB",Erythropoietin,0,F
2012,Summer,Yekaterina Kostetskaya,Russia,"Athletics 
1500 metres",Biological passport abnormalities,0,F
2012,Summer,Zalina Marghieva,Moldova,"Athletics 
Hammer throw",Turinabol & Stanozolol,0,F
2012,Summer,Karin Melis Mey,Turkey,"Athletics 
Long jump",Testosterone,0,F
2012,Summer,Andrei Mikhnevich,Belarus,"Athletics 
Shot put",Methandienone & Oxandrolone,0,M
2012,Summer,Anna Mishchenko,Ukraine,"Athletics 
1500 m",Biological passport abnormalities,0,F
2012,Summer,Andriy Semenov,Ukraine,"Athletics 
Shot put",,0,M
2012,Summer,Semiha Mutlu,Turkey,"Athletics 
20 km race walk",Biological passport abnormalities,0,F
2012,Summer,Nadzeya Ostapchuk,Belarus,"Athletics 
Shot put",Methenolone,1,F
2012,Summer,Darya Pishchalnikova,Russia,"Athletics 
Discus throw",Oxandrolone,2,F
2012,Summer,Hysen Pulaku,Albania,"Weightlifting 
77 kg",Stanozolol,0,M
2012,Summer,Meliz Redif,Turkey,"Athletics 
4 x 400 metres",Biological passport abnormalities,0,F
2012,Summer,Pinar Saka,Turkey,"Athletics 
400 metres 
4 x 400 metres",Biological passport abnormalities,0,F
2012,Summer,Mohammed Shaween,Saudi Arabia,"Athletics 
1500 metres",Biological passport abnormalities,0,M
2012,Summer,Anzhelika Shevchenko,Ukraine,"Athletics 
1500 metres",Biological passport abnormalities,0,F
2012,Summer,Liliya Shobukhova,Russia,"Athletics 
Marathon",Biological passport abnormalities,0,F
2012,Summer,Svitlana Shmidt,Ukraine,"Athletics 
Steeplechase",Biological passport abnormalities,0,F
2012,Summer,Soslan Tigiev,Uzbekistan,"Wrestling 
Freestyle 74 kg",Methylhexaneamine,3,M
2012,Summer,Binnaz Uslu,Turkey,"Athletics 
Steplechase",Stanozolol,0,F
2012,Summer,Wang Jiali,China,"Athletics 
Marathon",Biological passport abnormalities,0,F
2012,Summer,Nevin Yanit,Turkey,"Athletics 
100 metres hurdles",Biological passport abnormalities,0,F
2012,Summer,Igor Yerokhin,Russia,"Athletics 
50 km walk",Biological passport abnormalities,0,M
2012,Summer,Lyudmyla Yosypenko,Ukraine,"Athletics 
Heptathlon",Biological passport abnormalities,0,F
2012,Summer,Dilshod Nazarov,Tajikistan,"Athletics 
Hammer Throw",Turinabol,0,M
2012,Summer,Olga Beresnyeva,Ukraine,"Swimming 
Open water",Erythropoietin,0,F
2012,Summer,Yuliya Kalina,Ukraine,"Weightlifting 
58 kg",Turinabol,3,F
2012,Summer,Pavel Kryvitski,Belarus,"Athletics 
Hammer throw",Turinabol & Stanozolol,0,M
2012,Summer,Oleksandr Pyatnytsya,Ukraine,"Athletics 
Javelin throw",Turinabol,2,M
2012,Summer,Yuliya Zaripova,Russia,"Athletics 
3000 Metres Steeplechase",Turinabol,1,F
2012,Summer,Maiya Maneza,Kazakhstan,"Weightlifting 
63 kg",Stanozolol,1,F
2012,Summer,Zulfiya Chinshanlo,Kazakhstan,"Weightlifting 
53 kg",Stanozolol & Oxandrolone,1,F
2012,Summer,Svetlana Podobedova,Kazakhstan,"Weightlifting 
75 kg",Stanozolol,1,F
2012,Summer,Yevgeniya Kolodko,Russia,"Athletics 
Shot Put",Turinabol & Ipamorelin,2,F
2012,Summer,Ekaterina Gnidenko,Russia,"Cycling 
Keirin",Turinabol,0,F
2012,Summer,Tatyana Lysenko,Russia,"Athletics 
Hammer Throw",Turinabol,1,F
2012,Summer,Apti Aukhadov,Russia,"Weightlifting 
85 kg",Turinabol & Drostanolone,2,M
2012,Summer,Maksym Mazuryk,Ukraine,"Athletics 
Pole Vault",Turinabol,0,M
2012,Summer,Kirill Ikonnikov,Russia,"Athletics 
Hammer Throw",Turinabol,0,M
2012,Summer,Dzina Sazanavets,Belarus,"Weightlifting 
69 kg",Drostanolone & Stanozolol,0,F
2012,Summer,Maryna Shkermankova,Belarus,"Weightlifting 
69 kg",Turinabol & Stanozolol,3,F
2012,Summer,Dmitry Starodubtsev,Russia,"Athletics 
Pole Vault",Turinabol,0,M
2012,Summer,Yauheni Zharnasek,Belarus,"Weightlifting 
+105 kg",Turinabol,0,M
2012,Summer,Besik Kudukhov,Russia,"Wrestling 
Freestyle 60 kg",Turinabol,2,M
2012,Summer,Andrey Demanov,Russia,"Weightlifting 
94 kg",Turinabol,0,M
2012,Summer,Oleksandr Drygol,Ukraine,"Athletics 
Hammer Throw",Turinabol,0,M
2012,Summer,Cristina Iovu,Moldova,"Weightlifting 
53 kg",Turinabol,3,F
2012,Summer,Aleksandr Ivanov,Russia,"Weightlifting 
94 kg",Turinabol & Tamoxifen,2,M
2012,Summer,Hripsime Khurshudyan,Armenia,"Weightlifting 
+75 kg",Turinabol & Stanozolol,3,F
2012,Summer,Iryna Kulesha,Belarus,"Weightlifting 
75 kg",Turinabol & Stanozolol,3,F
2012,Summer,Rauli Tsirekidze,Georgia,"Weightlifting 
85 kg",Turinabol & Stanozolol,0,M
2012,Summer,Marharyta Tverdokhlib,Ukraine,"Athletics 
Long Jump",Turinabol & Stanozolol,0,F
2012,Summer,Almas Uteshov,Kazakhstan,"Weightlifting 
94 kg",Turinabol & Stanozolol,0,M
2012,Summer,Natalya Zabolotnaya,Russia,"Weightlifting 
75 kg",Turinabol,2,F
2012,Summer,Anatolie Ciricu,Moldova,"Weightlifting 
94 kg",Turinabol,3,M
2012,Summer,Ilya Ilyin,Kazakhstan,"Weightlifting 
94 kg",Turinabol & Stanozolol,1,M
2012,Summer,Aksana Miankova,Belarus,"Athletics 
Hammer Throw",Turinabol & Stanozolol,0,F
2012,Summer,Nastassia Mironchyk-Ivanova,Belarus,"Athletics 
Long Jump",Turinabol,0,F
2012,Summer,Boyanka Kostova,Azerbaijan,"Weightlifting 
58 kg",Turinabol & Stanozolol,0,F
2012,Summer,Sibel Simsek,Turkey,"Weightlifting 
63 kg",Turinabol & Stanozolol,0,F
2012,Summer,Intigam Zairov,Azerbaijan,"Weightlifting 
94 kg",Turinabol,0,M
2012,Summer,Norayr Vardanyan,Armenia,"Weightlifting 
94 kg",Turinabol,0,M
2012,Summer,Vera Ganeeva,Russia,"Athletics 
Discus Throw",Turinabol,0,F
2012,Summer,Adem Kilicci,Turkey,"Boxing 
Middleweight",Turinabol,0,M
